"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test 4: Search filter filters invoices by customer name","10833","test_search_filter_works","tests.ui","Wed Feb 11 11:06:49 UTC 2026","broken","Wed Feb 11 11:07:00 UTC 2026","TestDashboardUI","test_dashboard","",""
"
        מסע משתמש מלא: סריקה, חיפוש, ושליחת התראה
        ","11722","test_complete_user_journey_scan_and_notify","tests.ui","Wed Feb 11 11:07:46 UTC 2026","broken","Wed Feb 11 11:07:57 UTC 2026","TestDashboardUserJourney","test_dashboard","",""
"
        תרחיש: מנהל בוחן חשבוניות HIGH RISK
        ","11103","test_manager_reviews_high_risk_invoices","tests.ui","Wed Feb 11 11:07:57 UTC 2026","broken","Wed Feb 11 11:08:09 UTC 2026","TestDashboardUserJourney","test_dashboard","",""
"Test 1: Dashboard page loads successfully","10853","test_dashboard_page_loads","tests.ui","Wed Feb 11 11:05:54 UTC 2026","broken","Wed Feb 11 11:06:05 UTC 2026","TestDashboardUI","test_dashboard","",""
"Test 10: Page chaining - fluent interface (מסע משתמש)","10869","test_page_chaining_example","tests.ui","Wed Feb 11 11:06:05 UTC 2026","broken","Wed Feb 11 11:06:16 UTC 2026","TestDashboardUI","test_dashboard","",""
"Test 2: Scan button is visible on dashboard","10850","test_scan_button_exists","tests.ui","Wed Feb 11 11:06:27 UTC 2026","broken","Wed Feb 11 11:06:38 UTC 2026","TestDashboardUI","test_dashboard","",""
"Test 9: Send Email button exists for invoices","10870","test_send_email_button_exists_for_invoices","tests.ui","Wed Feb 11 11:07:00 UTC 2026","broken","Wed Feb 11 11:07:11 UTC 2026","TestDashboardUI","test_dashboard","",""
"Test 5: Risk level filter filters invoices","10859","test_risk_filter_works","tests.ui","Wed Feb 11 11:06:16 UTC 2026","broken","Wed Feb 11 11:06:27 UTC 2026","TestDashboardUI","test_dashboard","",""
"Test 6: Statistics cards display data","10823","test_stats_display_correctly","tests.ui","Wed Feb 11 11:07:22 UTC 2026","broken","Wed Feb 11 11:07:33 UTC 2026","TestDashboardUI","test_dashboard","",""
"Test 8: Send SMS button exists for invoices","10836","test_send_sms_button_exists_for_invoices","tests.ui","Wed Feb 11 11:07:11 UTC 2026","broken","Wed Feb 11 11:07:22 UTC 2026","TestDashboardUI","test_dashboard","",""
"Test 3: Clicking Scan button updates the invoice table","10856","test_scan_erp_next_updates_table","tests.ui","Wed Feb 11 11:06:38 UTC 2026","broken","Wed Feb 11 11:06:49 UTC 2026","TestDashboardUI","test_dashboard","",""
"Test 7: Table displays invoice information correctly using component composition","10834","test_table_displays_invoice_data","tests.ui","Wed Feb 11 11:07:33 UTC 2026","broken","Wed Feb 11 11:07:44 UTC 2026","TestDashboardUI","test_dashboard","",""
